Acronym,Name,Download_Link
APAOCUEMPLOY,APA Occupational and Employment cluster,https://data.bioontology.org/ontologies/APAOCUEMPLOY/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GLYCO,Glycomics Ontology,https://data.bioontology.org/ontologies/GLYCO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TM-CONST,Traditional Medicine Constitution Value Set,https://data.bioontology.org/ontologies/TM-CONST/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PLANP,Planarian Phenotype Ontology,https://data.bioontology.org/ontologies/PLANP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CDMONTO,Common Diabetes Medications Ontology,https://data.bioontology.org/ontologies/CDMONTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VANDF,Veterans Health Administration National Drug File,https://data.bioontology.org/ontologies/VANDF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RGD,RRB Group D,https://data.bioontology.org/ontologies/RGD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
XAO,Xenopus Anatomy Ontology,https://data.bioontology.org/ontologies/XAO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GBOL,GBOL,https://data.bioontology.org/ontologies/GBOL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TP_REL_FAM,Relation familiales,https://data.bioontology.org/ontologies/TP_REL_FAM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NATPRO,Natural Products Ontology,https://data.bioontology.org/ontologies/NATPRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ALLERGIDOC,Allergy Ontology,https://data.bioontology.org/ontologies/ALLERGIDOC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HAROREADO,Halocynthia roretzi Anatomy and Development Ontology,https://data.bioontology.org/ontologies/HAROREADO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CMR-QA,Cardiovascular Magnetic Resonance Quality Assessment Ontology,https://data.bioontology.org/ontologies/CMR-QA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NEOMARK3,"Neomark Oral Cancer Ontology, version 3",https://data.bioontology.org/ontologies/NEOMARK3/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NEOMARK4,"Neomark Oral Cancer Ontology, version 4",https://data.bioontology.org/ontologies/NEOMARK4/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PMD,Persian Medicine Diseases Ontology,https://data.bioontology.org/ontologies/PMD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PMDO,Parkinson and Movement Disorder Ontology,https://data.bioontology.org/ontologies/PMDO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COMODI,COMODI,https://data.bioontology.org/ontologies/COMODI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
E-PPO,Enhanced Personal Profile Ontology,https://data.bioontology.org/ontologies/E-PPO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SOS,emergência,https://data.bioontology.org/ontologies/SOS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CHD,Congenital Heart Defects Ontology,https://data.bioontology.org/ontologies/CHD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BOSHI,boshra,https://data.bioontology.org/ontologies/BOSHI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IDG_GL,IDG gene list,https://data.bioontology.org/ontologies/IDG_GL/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CCF,Human Reference Atlas Common Coordinate Framework Ontology,https://data.bioontology.org/ontologies/CCF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GCO,Genome Component Ontology,https://data.bioontology.org/ontologies/GCO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ZONMW-GENERIC,ZonMw Generic Terms,https://data.bioontology.org/ontologies/ZONMW-GENERIC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TIME,OWL-Time,https://data.bioontology.org/ontologies/TIME/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EXTRACT,EXTeRnAl Conditions Taxonomy (EXTRACT),https://data.bioontology.org/ontologies/EXTRACT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VODANA-MPA,VODANA-MIGRANTS-PRESS ARTICLES,https://data.bioontology.org/ontologies/VODANA-MPA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HMADO,Human Microbiome Associated Disease Ontology ,https://data.bioontology.org/ontologies/HMADO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TADS,Tick Gross Anatomy Ontology,https://data.bioontology.org/ontologies/TADS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTOKBCF,Ontological Knowledge Base Model for Cystic Fibrosis,https://data.bioontology.org/ontologies/ONTOKBCF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ELECTRICA,"Ontology for ELEctronic tool for Clinicians, Trainers and Researchers In Child Abuse",https://data.bioontology.org/ontologies/ELECTRICA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COVID19-IBO,Covid19 Impact on Banking Ontology,https://data.bioontology.org/ontologies/COVID19-IBO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CIDO,Coronavirus Infectious Disease Ontology,https://data.bioontology.org/ontologies/CIDO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RCTV2,Read Clinical Terminology Version 2,https://data.bioontology.org/ontologies/RCTV2/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ICNP,International Classification for Nursing Practice,https://data.bioontology.org/ontologies/ICNP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CHEMBIO,Systems Chemical Biology and Chemogenomics Ontology ,https://data.bioontology.org/ontologies/CHEMBIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ZECO,Zebrafish Experimental Conditions Ontology,https://data.bioontology.org/ontologies/ZECO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DHMO,RADx Data Hub Metadata Ontology,https://data.bioontology.org/ontologies/DHMO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MEDEON,Medical Error Ontology,https://data.bioontology.org/ontologies/MEDEON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NPOKB,Neuron Phenotype Ontology,https://data.bioontology.org/ontologies/NPOKB/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DSIP2324_DEMO,DSIP2324_Demonstration,https://data.bioontology.org/ontologies/DSIP2324_DEMO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CAROLIO,Caroli's Disease and Syndrome Ontology,https://data.bioontology.org/ontologies/CAROLIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
APAONTO,Psychology Ontology,https://data.bioontology.org/ontologies/APAONTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VODANAMFLCODE,VODANAFACILITIESLIST,https://data.bioontology.org/ontologies/VODANAMFLCODE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CISAVIADO,Ciona savignyi Anatomy and Development Ontology ,https://data.bioontology.org/ontologies/CISAVIADO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OPMI,Ontology of Precision Medicine and Investigation,https://data.bioontology.org/ontologies/OPMI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CSO,Clinical Study Ontology,https://data.bioontology.org/ontologies/CSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ASDF,testiiii1,https://data.bioontology.org/ontologies/ASDF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTOSINASC,Ontology of Information System on Live Births,https://data.bioontology.org/ontologies/ONTOSINASC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CIDOC-CRM,CIDOC Conceptual Reference Model,https://data.bioontology.org/ontologies/CIDOC-CRM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ROO,Radiation Oncology Ontology,https://data.bioontology.org/ontologies/ROO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
STY,Semantic Types Ontology,https://data.bioontology.org/ontologies/STY/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COVID-19-ONT-PM,COVID-19OntologyInPatternMedicine,https://data.bioontology.org/ontologies/COVID-19-ONT-PM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
WB-PHENOTYPE,C. elegans Phenotype Vocabulary,https://data.bioontology.org/ontologies/WB-PHENOTYPE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PMR,Physical Medicine and Rehabilitation,https://data.bioontology.org/ontologies/PMR/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
