title,id,keywords,description,url,sub classification,owl link,License URL,Record Count,,,,,,,,url
Rare Diseases Awareness Ontology,RDAO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/RDAO,,,,,,,,,,,,https://data.bioontology.org/ontologies/RDAO
Heart Failure Ontology,HFO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/HFO,,,,,,,,,,,,https://data.bioontology.org/ontologies/HFO
Genomic Feature and Variation Ontology,GFVO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/GFVO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GFVO
Group 4-Data Science in Practice,G4-DSIP,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/G4-DSIP,,,,,,,,,,,,https://data.bioontology.org/ontologies/G4-DSIP
Fish Ontology,FISHO,"Fisheries, Biology",Ontology for fish species and habitats.,https://bioportal.bioontology.org/ontologies/FISHO,,,,,,,,,,,,https://data.bioontology.org/ontologies/FISHO
Simple Measurement Ontology,SIMON,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/SIMON,,,,,,,,,,,,https://data.bioontology.org/ontologies/SIMON
Animal Natural History and Life History Ontology,ADW,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/ADW,,,,,,,,,,,,https://data.bioontology.org/ontologies/ADW
Injury Types,INJURYTYPES,"Medical, Safety","Classifies injury types (e.g., fractures, burns).",https://bioportal.bioontology.org/ontologies/INJURYTYPES,,,,,,,,,,,,https://data.bioontology.org/ontologies/INJURYTYPES
Cancer Staging Terms,CST,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/CST,,,,,,,,,,,,https://data.bioontology.org/ontologies/CST
Clinical smell and taste disorders,CSTD,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/CSTD,,,,,,,,,,,,https://data.bioontology.org/ontologies/CSTD
Coleoptera Anatomy Ontology,COLAO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/COLAO,,,,,,,,,,,,https://data.bioontology.org/ontologies/COLAO
Plant Gall Ontology,GALLONT,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/GALLONT,,,,,,,,,,,,https://data.bioontology.org/ontologies/GALLONT
In Vitro Methodologies Ontology for MAATrica metric,VIMM,Immunology,Vocabulary of Immune Epitopes and Major Histocompatibility Complex.,https://bioportal.bioontology.org/ontologies/VIMM,,,,,,,,,,,,https://data.bioontology.org/ontologies/VIMM
Ontology for Process-Based Modeling of Dynamical Systems (OntoPBM),ONTOPBM,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/ONTOPBM,,,,,,,,,,,,https://data.bioontology.org/ontologies/ONTOPBM
Medical Dictionary for Regulatory Activities Terminology (MedDRA),MEDDRA,"Medical, Pharmacovigilance",Standardized medical terminology for drug safety.,https://bioportal.bioontology.org/ontologies/MEDDRA,,,,,,,,,,,,https://data.bioontology.org/ontologies/MEDDRA
Ontology for Genetic Susceptibility Factor,OGSF,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/OGSF,,,,,,,,,,,,https://data.bioontology.org/ontologies/OGSF
Body System Terms from ICD11,ICD11-BODYSYSTEM,"Medical, Classification",ICD-11 body system classifications for diseases.,https://bioportal.bioontology.org/ontologies/ICD11-BODYSYSTEM,,,,,,,,,,,,https://data.bioontology.org/ontologies/ICD11-BODYSYSTEM
VODANADiseases,VODANADISEASES,"Biomedical, Infectious Diseases",Ontology for COVID-19 and infectious disease data.,https://bioportal.bioontology.org/ontologies/VODANADISEASES,,,,,,,,,,,,https://data.bioontology.org/ontologies/VODANADISEASES
Computational Neuroscience Ontology,CNO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/CNO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CNO
Space Life Sciences Ontology,SLSO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/SLSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/SLSO
Coding Symbols for a Thesaurus of Adverse Reaction Terms,COSTART,"Medical, Adverse Events",Coding Symbols for Thesaurus of Adverse Reaction Terms.,https://bioportal.bioontology.org/ontologies/COSTART,,,,,,,,,,,,https://data.bioontology.org/ontologies/COSTART
ISO 19115 Metadata Information,ISO19115MI,"Geospatial, Metadata",ISO 19115 Metadata for geographic information.,https://bioportal.bioontology.org/ontologies/ISO19115MI,,,,,,,,,,,,https://data.bioontology.org/ontologies/ISO19115MI
Biomedical Image Ontology,BIM,"Construction, Engineering",Building Information Modeling ontology.,https://bioportal.bioontology.org/ontologies/BIM,,,,,,,,,,,,https://data.bioontology.org/ontologies/BIM
Breast Tissue Cell Lines Ontology,MCBCC,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/MCBCC,,,,,,,,,,,,https://data.bioontology.org/ontologies/MCBCC
HMIS 033,HMIS033B,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/HMIS033B,,,,,,,,,,,,https://data.bioontology.org/ontologies/HMIS033B
RDA Mode of Issuance,RDA-ISSUANCE,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/RDA-ISSUANCE,,,,,,,,,,,,https://data.bioontology.org/ontologies/RDA-ISSUANCE
Microbial Typing Ontology,TYPON,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/TYPON,,,,,,,,,,,,https://data.bioontology.org/ontologies/TYPON
test-m4m20-subjects-pav,TEST-M4M20-PAV,Test ontology,No description available.,https://bioportal.bioontology.org/ontologies/TEST-M4M20-PAV,,,,,,,,,,,,https://data.bioontology.org/ontologies/TEST-M4M20-PAV
Neuroscience Domain Insight Graph,NEUDIGS,Neuroscience,Neurodevelopmental Disorders Ontology.,https://bioportal.bioontology.org/ontologies/NEUDIGS,,,,,,,,,,,,https://data.bioontology.org/ontologies/NEUDIGS
Non-coding RNA Ontology,NCRO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/NCRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/NCRO
OPD-Ethiopia,OPDE,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/OPDE,,,,,,,,,,,,https://data.bioontology.org/ontologies/OPDE
opd_test,OPDT,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/OPDT,,,,,,,,,,,,https://data.bioontology.org/ontologies/OPDT
NCoD,NCOD,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/NCOD,,,,,,,,,,,,https://data.bioontology.org/ontologies/NCOD
Library of Congress Media Types Scheme,LC-MEDIA,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/LC-MEDIA,,,,,,,,,,,,https://data.bioontology.org/ontologies/LC-MEDIA
Research Network and Patient Registry Inventory Ontology,RNPRIO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/RNPRIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/RNPRIO
Common Terminology Criteria for Adverse Events,CTCAE,"Medical, Oncology",Common Terminology Criteria for Adverse Events.,https://bioportal.bioontology.org/ontologies/CTCAE,,,,,,,,,,,,https://data.bioontology.org/ontologies/CTCAE
NND_Neuropathological_Diagnosis,NND_ND,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/NND_ND,,,,,,,,,,,,https://data.bioontology.org/ontologies/NND_ND
ISO 19115 Identification Information,ISO19115ID,"Geospatial, Metadata",ISO 19115-1 Metadata Identifier Ontology.,https://bioportal.bioontology.org/ontologies/ISO19115ID,,,,,,,,,,,,https://data.bioontology.org/ontologies/ISO19115ID
Reusable Biodiversity Ontology,RDO,"Health, Biomedical",Research Disease Ontology for study annotation,https://bioportal.bioontology.org/ontologies/RDO,,,,,,,,,,,,https://data.bioontology.org/ontologies/RDO
test1,TESTEX,Human,Test ontology for system validation,https://bioportal.bioontology.org/ontologies/TESTEX,,,,,,,,,,,,https://data.bioontology.org/ontologies/TESTEX
Animal Health Surveillance Ontology,AHSO,"Health, Professions",Allied Health Standardized Ontology,https://bioportal.bioontology.org/ontologies/AHSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/AHSO
Cell Line Ontology,CLO,"Biomedical, Cell Biology, Life Sciences",Cell Line Ontology for biomedical research,https://bioportal.bioontology.org/ontologies/CLO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CLO
Alzheimer's Disease Ontology,ADO,"Neuroscience, Disease, Health",Adverse Drug Outcomes ontology,https://bioportal.bioontology.org/ontologies/ADO,,,,,,,,,,,,https://data.bioontology.org/ontologies/ADO
Intelligent Medicine oriented Biobank Ontology,IMOBO,Immunology,Immune Ontology for antibody research,https://bioportal.bioontology.org/ontologies/IMOBO,,,,,,,,,,,,https://data.bioontology.org/ontologies/IMOBO
WikiPathways,WIKIPATHWAYS,"Pathways, Biology, Molecular Biology",Pathway data integration ontology,https://bioportal.bioontology.org/ontologies/WIKIPATHWAYS,,,,,,,,,,,,https://data.bioontology.org/ontologies/WIKIPATHWAYS
Suggested Ontology for Pharmacogenomics,SOPHARM,"Clinical, Phenotype, Health",Sophisticated Pharmaceutical ontology,https://bioportal.bioontology.org/ontologies/SOPHARM,,,,,,,,,,,,https://data.bioontology.org/ontologies/SOPHARM
Plant Stress Ontology,PLANTSO,Botany,Plant Species Ontology,https://bioportal.bioontology.org/ontologies/PLANTSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PLANTSO
Rheumatoid Arthritis ontology,RAO,Research,Research Activity Ontology,https://bioportal.bioontology.org/ontologies/RAO,,,,,,,,,,,,https://data.bioontology.org/ontologies/RAO
WHO COVID-19 Rapid Version CRF semantic data model,COVIDCRFRAPID,"Infectious Diseases, Public Health, Biomedical",COVID-19 Clinical Research Framework,https://bioportal.bioontology.org/ontologies/COVIDCRFRAPID,,,,,,,,,,,,https://data.bioontology.org/ontologies/COVIDCRFRAPID
Orthologous Group Ontology,OGROUP,Demographics,Population Group Ontology,https://bioportal.bioontology.org/ontologies/OGROUP,,,,,,,,,,,,https://data.bioontology.org/ontologies/OGROUP
COKPME - COVID19 Ontology for analyzing the Karnataka Private Medical Establishments Data  ,COKPME,Not listed,No description available,https://bioportal.bioontology.org/ontologies/COKPME,,,,,,,,,,,,https://data.bioontology.org/ontologies/COKPME
Electrocardiography Ontology,ECG,Medical,Electrocardiography Ontology,https://bioportal.bioontology.org/ontologies/ECG,,,,,,,,,,,,https://data.bioontology.org/ontologies/ECG
Digital Health Technologies,ODHT,Healthcare,Oral Health Terminology,https://bioportal.bioontology.org/ontologies/ODHT,,,,,,,,,,,,https://data.bioontology.org/ontologies/ODHT
ISO 19115 Codelists,ISO19115PR,Geospatial,ISO Metadata for Projections,https://bioportal.bioontology.org/ontologies/ISO19115PR,,,,,,,,,,,,https://data.bioontology.org/ontologies/ISO19115PR
PGxO,PGXO,Genomics,Pharmacogenomics Ontology,https://bioportal.bioontology.org/ontologies/PGXO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PGXO
Menelas Project Top-Level Ontology,TOP-MENELAS,Not listed,No description available,https://bioportal.bioontology.org/ontologies/TOP-MENELAS,,,,,,,,,,,,https://data.bioontology.org/ontologies/TOP-MENELAS
Traditional Medicine Signs and Symptoms Value Set,TM-SIGNS-AND-SYMPTS,Medical,Traditional Medicine Symptoms,https://bioportal.bioontology.org/ontologies/TM-SIGNS-AND-SYMPTS,,,,,,,,,,,,https://data.bioontology.org/ontologies/TM-SIGNS-AND-SYMPTS
"International Classification of Functioning, Disability and Health",ICF,Healthcare,International Classification of Functioning,https://bioportal.bioontology.org/ontologies/ICF,,,,,,,,,,,,https://data.bioontology.org/ontologies/ICF
VODANANIGERIA,VODANANIGERIA,Medical,Nigerian Disease Surveillance Ontology,https://bioportal.bioontology.org/ontologies/VODANANIGERIA,,,,,,,,,,,,https://data.bioontology.org/ontologies/VODANANIGERIA
Pharmacogenomic Relationships Ontology,PHARE,Not listed,No description available,https://bioportal.bioontology.org/ontologies/PHARE,,,,,,,,,,,,https://data.bioontology.org/ontologies/PHARE
InfraRisk Ontology,INFRARISK,Engineering,Infrastructure Risk Assessment,https://bioportal.bioontology.org/ontologies/INFRARISK,,,,,,,,,,,,https://data.bioontology.org/ontologies/INFRARISK
Human Reference Atlas,HRA,Healthcare,Health Risk Assessment Ontology,https://bioportal.bioontology.org/ontologies/HRA,,,,,,,,,,,,https://data.bioontology.org/ontologies/HRA
Whole-cell modeling ontology,WC,Not listed,No description available,https://bioportal.bioontology.org/ontologies/WC,,,,,,,,,,,,https://data.bioontology.org/ontologies/WC
In Vivo Methodologies Ontology for MAATrica metric,VVMM,Virology,Viral Vector Modeling Ontology,https://bioportal.bioontology.org/ontologies/VVMM,,,,,,,,,,,,https://data.bioontology.org/ontologies/VVMM
Radiology Gamuts Ontology,GAMUTS,Medical,Genetic Association Medical Utility Taxonomy,https://bioportal.bioontology.org/ontologies/GAMUTS,,,,,,,,,,,,https://data.bioontology.org/ontologies/GAMUTS
Symptom Ontology,SYMP,Medical,Symptom Ontology,https://bioportal.bioontology.org/ontologies/SYMP,,,,,,,,,,,,https://data.bioontology.org/ontologies/SYMP
Ontology of Adverse Events,OAE,Biology,Ontology of Adverse Events,https://bioportal.bioontology.org/ontologies/OAE,,,,,,,,,,,,https://data.bioontology.org/ontologies/OAE
ecosim ontology,ECOSIM,Ecology,Ecosystem Simulation Ontology,https://bioportal.bioontology.org/ontologies/ECOSIM,,,,,,,,,,,,https://data.bioontology.org/ontologies/ECOSIM
KB_Bio_101,AURA,Not listed,No description available,https://bioportal.bioontology.org/ontologies/AURA,,,,,,,,,,,,https://data.bioontology.org/ontologies/AURA
Fall Risk Management Ontology ,FRMO,Research,Funding Research Metadata Ontology,https://bioportal.bioontology.org/ontologies/FRMO,,,,,,,,,,,,https://data.bioontology.org/ontologies/FRMO
clinical LABoratory Ontology,LABO,Medical,Laboratory Observation Ontology,https://bioportal.bioontology.org/ontologies/LABO,,,,,,,,,,,,https://data.bioontology.org/ontologies/LABO
Multiple sclerosis ontology,MSO,Biology,Mouse Strain Ontology,https://bioportal.bioontology.org/ontologies/MSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/MSO
Ontology of Microbial Phenotypes,OMP,Not listed,No description available,https://bioportal.bioontology.org/ontologies/OMP,,,,,,,,,,,,https://data.bioontology.org/ontologies/OMP
Protein-ligand interaction ontology,PLIO,Paleontology,Pleistocene Ontology,https://bioportal.bioontology.org/ontologies/PLIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PLIO
FlyGlycoDB,FLYGLYCODB,Biology,Drosophila Glycomics Database,https://bioportal.bioontology.org/ontologies/FLYGLYCODB,,,,,,,,,,,,https://data.bioontology.org/ontologies/FLYGLYCODB
LDbase,LDBASE,Not listed,No description available,https://bioportal.bioontology.org/ontologies/LDBASE,,,,,,,,,,,,https://data.bioontology.org/ontologies/LDBASE
Nurse Administrator,ADMIN,Not listed,No description available,https://bioportal.bioontology.org/ontologies/ADMIN,,,,,,,,,,,,https://data.bioontology.org/ontologies/ADMIN
National Center for Biotechnology Information (NCBI) Organismal Classification,NCBITAXON,Biology,NCBI Taxonomy Ontology,https://bioportal.bioontology.org/ontologies/NCBITAXON,,,,,,,,,,,,https://data.bioontology.org/ontologies/NCBITAXON
Eagle-I Research Resource Ontology,ERO,Research,Eagle-I Research Resource Ontology,https://bioportal.bioontology.org/ontologies/ERO,,,,,,,,,,,,https://data.bioontology.org/ontologies/ERO
Cancer Care: Treatment Outcome Ontology,CCTOO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/CCTOO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CCTOO
Ontology for the Anatomy of the Insect SkeletoMuscular system,AISM,Not listed,No description available,https://bioportal.bioontology.org/ontologies/AISM,,,,,,,,,,,,https://data.bioontology.org/ontologies/AISM
HIVHPVStom,HIVHPVSTOM,Medical,HIV/HPV Co-infection Ontology,https://bioportal.bioontology.org/ontologies/HIVHPVSTOM,,,,,,,,,,,,https://data.bioontology.org/ontologies/HIVHPVSTOM
Biomedical Informatics Research Network Project Lexicon,BIRNLEX,Neuroscience,Brain Imaging Lexicon,https://bioportal.bioontology.org/ontologies/BIRNLEX,,,,,,,,,,,,https://data.bioontology.org/ontologies/BIRNLEX
"Read Codes, Clinical Terms Version 3 (CTV3) ",RCD,Not listed,No description available,https://bioportal.bioontology.org/ontologies/RCD,,,,,,,,,,,,https://data.bioontology.org/ontologies/RCD
FamPlex,FPLX,Biology,Protein Complex Ontology,https://bioportal.bioontology.org/ontologies/FPLX,,,,,,,,,,,,https://data.bioontology.org/ontologies/FPLX
Epilepsy and Seizure Ontology,EPSO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/EPSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/EPSO
Epigenetic Entity,EPIE,Not listed,No description available,https://bioportal.bioontology.org/ontologies/EPIE,,,,,,,,,,,,https://data.bioontology.org/ontologies/EPIE
Epigenetic Process,EPIP,Epidemiology,Epidemic Intelligence Platform Ontology,https://bioportal.bioontology.org/ontologies/EPIP,,,,,,,,,,,,https://data.bioontology.org/ontologies/EPIP
EpilepsyOntology,EPIO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/EPIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/EPIO
Land Surface classifiers,LAND-SURFACE,Environmental,Terrestrial Ecosystem Modeling Ontology,https://bioportal.bioontology.org/ontologies/LAND-SURFACE,,,,,,,,,,,,https://data.bioontology.org/ontologies/LAND-SURFACE
Probabilistic Knowledge Assembly Ontology,PANDA,Biology,Protein Association Network Ontology,https://bioportal.bioontology.org/ontologies/PANDA,,,,,,,,,,,,https://data.bioontology.org/ontologies/PANDA
Software Ontology,SWO,Software,Semantic Web for Scientific Instruments,https://bioportal.bioontology.org/ontologies/SWO,,,,,,,,,,,,https://data.bioontology.org/ontologies/SWO
Plant Structure Development Stage,PSDS,Psychology,Psychological Stress Detection System,https://bioportal.bioontology.org/ontologies/PSDS,,,,,,,,,,,,https://data.bioontology.org/ontologies/PSDS
Performance Summary Display Ontology,PSDO,Psychiatry,Psychiatric Symptom Ontology,https://bioportal.bioontology.org/ontologies/PSDO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PSDO
Web Annotation Ontology,OA,Not listed,No description available,https://bioportal.bioontology.org/ontologies/OA,,,,,,,,,,,,https://data.bioontology.org/ontologies/OA
OntoFood,OF,Not listed,No description available,https://bioportal.bioontology.org/ontologies/OF,,,,,,,,,,,,https://data.bioontology.org/ontologies/OF
Ontology of units of Measure,OM,Not listed,No description available,https://bioportal.bioontology.org/ontologies/OM,,,,,,,,,,,,https://data.bioontology.org/ontologies/OM
NND_Clinical_history,NND_CH,Not listed,No description available,https://bioportal.bioontology.org/ontologies/NND_CH,,,,,,,,,,,,https://data.bioontology.org/ontologies/NND_CH
Pharmacy mock data,DSIP,Not listed,No description available,https://bioportal.bioontology.org/ontologies/DSIP,,,,,,,,,,,,https://data.bioontology.org/ontologies/DSIP
Translational Medicine Ontology,TMO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/TMO,,,,,,,,,,,,https://data.bioontology.org/ontologies/TMO
Library of Congress Demographic Group Terms,LCDGT,Library Science,Library of Congress Demographic Terms,https://bioportal.bioontology.org/ontologies/LCDGT,,,,,,,,,,,,https://data.bioontology.org/ontologies/LCDGT
SugarBind,SUGARBIND,Biochemistry,Glycan Binding Ontology,https://bioportal.bioontology.org/ontologies/SUGARBIND,,,,,,,,,,,,https://data.bioontology.org/ontologies/SUGARBIND
Ontology Metadata Vocabulary,OMV,Not listed,No description available,https://bioportal.bioontology.org/ontologies/OMV,,,,,,,,,,,,https://data.bioontology.org/ontologies/OMV
Semantic Sensor Network Ontology,SSN,IoT,Semantic Sensor Network Ontology,https://bioportal.bioontology.org/ontologies/SSN,,,,,,,,,,,,https://data.bioontology.org/ontologies/SSN
Drug Target Ontology,DTO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/DTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/DTO
Cephalopod Ontology,CEPH,Not listed,No description available,https://bioportal.bioontology.org/ontologies/CEPH,,,,,,,,,,,,https://data.bioontology.org/ontologies/CEPH
APA Occupational and Employment cluster,APAOCUEMPLOY,Not listed,No description available,https://bioportal.bioontology.org/ontologies/APAOCUEMPLOY,,,,,,,,,,,,https://data.bioontology.org/ontologies/APAOCUEMPLOY
Glycomics Ontology,GLYCO,Biochemistry,Glycomics Ontology,https://bioportal.bioontology.org/ontologies/GLYCO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GLYCO
Traditional Medicine Constitution Value Set,TM-CONST,Not listed,No description available,https://bioportal.bioontology.org/ontologies/TM-CONST,,,,,,,,,,,,https://data.bioontology.org/ontologies/TM-CONST
Planarian Phenotype Ontology,PLANP,Not listed,No description available,https://bioportal.bioontology.org/ontologies/PLANP,,,,,,,,,,,,https://data.bioontology.org/ontologies/PLANP
Common Diabetes Medications Ontology,CDMONTO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/CDMONTO,,,,,,,,,,,,https://data.bioontology.org/ontologies/CDMONTO
Veterans Health Administration National Drug File,VANDF,Pharmacy,VA National Drug File Ontology,https://bioportal.bioontology.org/ontologies/VANDF,,,,,,,,,,,,https://data.bioontology.org/ontologies/VANDF
RRB Group D,RGD,Biology,Rat Genome Database Ontology,https://bioportal.bioontology.org/ontologies/RGD,,,,,,,,,,,,https://data.bioontology.org/ontologies/RGD
Xenopus Anatomy Ontology,XAO,Biology,Xenopus Anatomy Ontology,https://bioportal.bioontology.org/ontologies/XAO,,,,,,,,,,,,https://data.bioontology.org/ontologies/XAO
GBOL,GBOL,Biology,German Barcode of Life Ontology,https://bioportal.bioontology.org/ontologies/GBOL,,,,,,,,,,,,https://data.bioontology.org/ontologies/GBOL
Relation familiales,TP_REL_FAM,Not listed,No description available,https://bioportal.bioontology.org/ontologies/TP_REL_FAM,,,,,,,,,,,,https://data.bioontology.org/ontologies/TP_REL_FAM
Natural Products Ontology,NATPRO,Chemistry,Natural Products Ontology,https://bioportal.bioontology.org/ontologies/NATPRO,,,,,,,,,,,,https://data.bioontology.org/ontologies/NATPRO
Allergy Ontology,ALLERGIDOC,Medical,Allergy Documentation Ontology,https://bioportal.bioontology.org/ontologies/ALLERGIDOC,,,,,,,,,,,,https://data.bioontology.org/ontologies/ALLERGIDOC
Halocynthia roretzi Anatomy and Development Ontology,HAROREADO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/HAROREADO,,,,,,,,,,,,https://data.bioontology.org/ontologies/HAROREADO
Cardiovascular Magnetic Resonance Quality Assessment Ontology,CMR-QA,Medical,Cardiac MR Quality Assessment,https://bioportal.bioontology.org/ontologies/CMR-QA,,,,,,,,,,,,https://data.bioontology.org/ontologies/CMR-QA
"Neomark Oral Cancer Ontology, version 3",NEOMARK3,Not listed,No description available,https://bioportal.bioontology.org/ontologies/NEOMARK3,,,,,,,,,,,,https://data.bioontology.org/ontologies/NEOMARK3
"Neomark Oral Cancer Ontology, version 4",NEOMARK4,Not listed,No description available,https://bioportal.bioontology.org/ontologies/NEOMARK4,,,,,,,,,,,,https://data.bioontology.org/ontologies/NEOMARK4
Persian Medicine Diseases Ontology,PMD,Not listed,No description available,https://bioportal.bioontology.org/ontologies/PMD,,,,,,,,,,,,https://data.bioontology.org/ontologies/PMD
Parkinson and Movement Disorder Ontology,PMDO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/PMDO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PMDO
COMODI,COMODI,Not listed,No description available,https://bioportal.bioontology.org/ontologies/COMODI,,,,,,,,,,,,https://data.bioontology.org/ontologies/COMODI
Enhanced Personal Profile Ontology,E-PPO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/E-PPO,,,,,,,,,,,,https://data.bioontology.org/ontologies/E-PPO
emergência,SOS,Not listed,No description available,https://bioportal.bioontology.org/ontologies/SOS,,,,,,,,,,,,https://data.bioontology.org/ontologies/SOS
Congenital Heart Defects Ontology,CHD,Not listed,No description available,https://bioportal.bioontology.org/ontologies/CHD,,,,,,,,,,,,https://data.bioontology.org/ontologies/CHD
boshra,BOSHI,Not listed,No description available,https://bioportal.bioontology.org/ontologies/BOSHI,,,,,,,,,,,,https://data.bioontology.org/ontologies/BOSHI
IDG gene list,IDG_GL,Not listed,No description available,https://bioportal.bioontology.org/ontologies/IDG_GL,,,,,,,,,,,,https://data.bioontology.org/ontologies/IDG_GL
Human Reference Atlas Common Coordinate Framework Ontology,CCF,Not listed,No description available,https://bioportal.bioontology.org/ontologies/CCF,,,,,,,,,,,,https://data.bioontology.org/ontologies/CCF
Genome Component Ontology,GCO,Not listed,No description available,https://bioportal.bioontology.org/ontologies/GCO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GCO
ZonMw Generic Terms,ZONMW-GENERIC,Not listed,No description available,https://bioportal.bioontology.org/ontologies/ZONMW-GENERIC,,,,,,,,,,,,https://data.bioontology.org/ontologies/ZONMW-GENERIC
OWL-Time,TIME,Not listed,No description available,https://bioportal.bioontology.org/ontologies/TIME,,,,,,,,,,,,https://data.bioontology.org/ontologies/TIME
EXTeRnAl Conditions Taxonomy (EXTRACT),EXTRACT,Not listed,No description available,https://bioportal.bioontology.org/ontologies/EXTRACT,,,,,,,,,,,,https://data.bioontology.org/ontologies/EXTRACT
VODANA-MIGRANTS-PRESS ARTICLES,VODANA-MPA,Not listed,No description available,https://bioportal.bioontology.org/ontologies/VODANA-MPA,,,,,,,,,,,,https://data.bioontology.org/ontologies/VODANA-MPA
