title,id,keywords,description,url,Sub classification,owl link,Working link,License URL,Record Count
Ontology for Parasite Lifecycle,opl,,"The Ontology for Parasite Lifecycle (OPL) models the life cycle stage details of various parasites, including Trypanosoma sp., Leishmania major, and Plasmodium sp., etc. In addition to life cycle stages, the ontology also models necessary contextual details, such as host information, vector information, and anatomical location. OPL is based on the Basic Formal Ontology (BFO) and follows the rules set by the OBO Foundry consortium.",https://www.ebi.ac.uk/ols4/ontologies/opl,,http://purl.obolibrary.org/obo/opl/2023-08-28/opl.owl,https://github.com/OPL-ontology/OPL,,
OPMI: Ontology of Precision Medicine and Investigation,opmi,,OPMI is a biomedical ontology in the area of precision medicine and its related investigations. It is community-driven and developed by following the OBO Foundry ontology development principles.,https://www.ebi.ac.uk/ols4/ontologies/opmi,,,https://github.com/OPMI/opmi,,
Ontology for RNA sequencing (ORNASEQ),ornaseq,,An application ontology designed to annotate next-generation sequencing experiments performed on RNA.,https://www.ebi.ac.uk/ols4/ontologies/ornaseq,,http://purl.obolibrary.org/obo/ornaseq/2019-07-08/ornaseq.owl,http://kim.bio.upenn.edu/software/ornaseq.shtml,,
OVAE: Ontology of Vaccine Adverse Events,ovae,,OVAE is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the community-based Ontology of Adverse Events (OAE). ,https://www.ebi.ac.uk/ols4/ontologies/ovae,,,http://www.violinet.org/ovae/,,
PATO - the Phenotype And Trait Ontology,pato,,"An ontology of phenotypic qualities (properties, attributes or characteristics).",https://www.ebi.ac.uk/ols4/ontologies/pato,,http://purl.obolibrary.org/obo/pato/releases/2025-05-14/pato.owl,https://github.com/pato-ontology/pato/,,
Provisional Cell Ontology,pcl,,Cell types that are provisionally defined by experimental techniques such as single cell transcriptomics rather than a straightforward & coherent set of properties.,https://www.ebi.ac.uk/ols4/ontologies/pcl,,http://purl.obolibrary.org/obo/pcl/releases/2025-01-08/pcl.owl,https://github.com/obophenotype/provisional_cell_ontology,,
Population and Community Ontology,pco,,"The Population and Community Ontology (PCO) describes material entities, qualities, and processes related to collections of interacting organisms such as populations and communities. It is taxon neutral, and can be used for any species, including humans. The classes in the PCO are useful for describing evolutionary processes, organismal interactions, and ecological experiments. Practical applications of the PCO include community health care, plant pathology, behavioral studies, sociology, and ecology.",https://www.ebi.ac.uk/ols4/ontologies/pco,,http://purl.obolibrary.org/obo/pco/releases/2021-05-03/pco.owl,https://github.com/PopulationAndCommunityOntology/pco,,
The Prescription of Drugs Ontology,pdro,,An ontology to describe entities related to prescription of drugs,https://www.ebi.ac.uk/ols4/ontologies/pdro,,http://purl.obolibrary.org/obo/pdro/2021-06-08/pdro.owl,https://github.com/OpenLHS/PDRO,,
Plant Experimental Conditions Ontology,peco,,"A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments.",https://www.ebi.ac.uk/ols4/ontologies/peco,,http://purl.obolibrary.org/obo/peco/releases/2023-11-10/peco.owl,http://planteome.org/,,
Pathogen Host Interactions Phenotype Ontology,phipo,,Ontology of species-neutral phenotypes observed in pathogen-host interactions.,https://www.ebi.ac.uk/ols4/ontologies/phipo,,http://purl.obolibrary.org/obo/phipo/releases/2024-08-29/phipo.owl,https://github.com/PHI-base/phipo,,
Planarian Anatomy Ontology (PLANA),plana,,"PLANA, the PLANarian Anatomy Ontology, encompasses the anatomy of developmental stages and adult biotypes of Schmidtea mediterranea.",https://www.ebi.ac.uk/ols4/ontologies/plana,,http://purl.obolibrary.org/obo/plana/releases/2023-03-13,https://github.com/obophenotype/planaria-ontology,,
Planarian Phenotype Ontology (PLANP),planp,,Planarian Phenotype Ontology is an ontology of phenotypes observed in the planarian Schmidtea mediterranea.,https://www.ebi.ac.uk/ols4/ontologies/planp,,http://purl.obolibrary.org/obo/planp/releases/2020-03-28/planp.owl,https://github.com/obophenotype/planarian-phenotype-ontology,,
Plant Ontology,po,,"The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data.",https://www.ebi.ac.uk/ols4/ontologies/po,,http://purl.obolibrary.org/obo/po/releases/2024-04-17/po.owl,http://browser.planteome.org/amigo,,
Porifera (sponge) ontology,poro,,An ontology describing the anatomical structures and characteristics of Porifera (sponges),https://www.ebi.ac.uk/ols4/ontologies/poro,,http://purl.obolibrary.org/obo/poro/releases/2016-10-06/poro.owl,https://github.com/obophenotype/porifera-ontology,,
Plant Phenology Ontology,ppo,,"An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales.",https://www.ebi.ac.uk/ols4/ontologies/ppo,,http://purl.obolibrary.org/obo/ppo/releases/2025-06-16/ppo.owl,https://github.com/PlantPhenoOntology/PPO,,
PRotein Ontology (PRO),pr,,An ontological representation of protein-related entities,https://www.ebi.ac.uk/ols4/ontologies/pr,,http://purl.obolibrary.org/obo/pr/71.0/pr.owl,http://proconsortium.org,,
PROCO: PROcess Chemistry Ontology,proco,,PROCO (PROcess Chemistry Ontology) is a formal ontology that aims to standardly represent entities and relations among entities in the domain of process chemistry.,https://www.ebi.ac.uk/ols4/ontologies/proco,,http://purl.obolibrary.org/obo/proco/releases/2022-04-11/proco.owl,https://github.com/proco-ontology/PROCO,,
Performance Summary Display Ontology,psdo,,"Performance Summary Display Ontology (PSDO) is an application ontology about motivating information in performance summaries and the visual and textual entities that are used to communicate about performance. Motivating information includes performance comparisons and changes that motivate improvement or sustainment, such as improvement towards a goal, loss of high performer status, or the presence of a performance gap. Visual and textual entities include charts, tables, and graphs that display performance information. PSDO's domain focus is healthcare organizations that use clinical quality dashboards and feedback interventions for healthcare professionals and teams. Performance information is commonly about the quality of care and health outcomes that have been derived from clinical data using performance measures (aka metrics, process indicators, quality measures, etc). PSDO uses Basic Formal Ontology as its upper level ontology. This work is supported by the NIH, National Library of Medicine (1K01LM012528-01, 1R01LM013894-01).

Landis-Lewis Z, Stansbury C, Rincón J, Gross C. Performance Summary Display Ontology: Feedback intervention content, delivery, and interpreted information. International Conference on Biomedical Ontology 2022 (ICBO 2022). https://icbo-conference.github.io/icbo2022/papers/ICBO-2022_paper_2172.pdf",https://www.ebi.ac.uk/ols4/ontologies/psdo,,http://purl.obolibrary.org/obo/2022-02-23/psdo.owl,https://github.com/Display-Lab/psdo,,
Plant Stress Ontology,pso,,The Plant Stress Ontology describes biotic and abiotic stresses that a plant may encounter.,https://www.ebi.ac.uk/ols4/ontologies/pso,,http://purl.obolibrary.org/obo/pso/releases/2023-11-14/pso.owl,https://github.com/Planteome/plant-stress-ontology,,
Pathway ontology,pw,,A controlled vocabulary for annotating gene products to pathways.,https://www.ebi.ac.uk/ols4/ontologies/pw,,http://purl.obolibrary.org/obo/pw/7.93/pw.owl,http://rgd.mcw.edu/rgdweb/ontology/search.html,,
Radiation Biology Ontology,rbo,,RBO is an ontology for the effects of radiation on biota in terrestrial and space environments.,https://www.ebi.ac.uk/ols4/ontologies/rbo,,http://purl.obolibrary.org/obo/rbo/releases/2025-05-30/rbo.owl,https://github.com/Radiobiology-Informatics-Consortium/RBO,,
Relation Ontology,ro,,Relationship types shared across multiple ontologies,https://www.ebi.ac.uk/ols4/ontologies/ro,,http://purl.obolibrary.org/obo/ro/releases/2025-03-05/ro.owl,https://oborel.github.io/,,
Rat Strain Ontology,rs,,Ontology of rat strains,https://www.ebi.ac.uk/ols4/ontologies/rs,,http://purl.obolibrary.org/obo/rs/6.250/rs.owl,http://rgd.mcw.edu/rgdweb/search/strains.html,,
RXNO,rxno,,RXNO is the name reaction ontology. It contains more than 500 classes representing organic reactions such as the Diels–Alder cyclization.,https://www.ebi.ac.uk/ols4/ontologies/rxno,,http://purl.obolibrary.org/obo/rxno/releases/2021-12-16/rxno.owl,https://github.com/rsc-ontologies/rxno,,
Ontology for Scientific Evidence and Provenance Information,sepio,,An ontology for representing the provenance of scientific claims and the evidence that supports them.,https://www.ebi.ac.uk/ols4/ontologies/sepio,,http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl,https://github.com/monarch-initiative/SEPIO-ontology,,
Space Life Sciences Ontology,slso,,The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive and other systems that contain space life science research data.,https://www.ebi.ac.uk/ols4/ontologies/slso,,http://purl.obolibrary.org/obo/slso/releases/2025-02-26/slso.owl,https://github.com/nasa/LSDAO,,
Sequence types and features ontology,so,,"A structured controlled vocabulary for sequence annotation, for the exchange of annotation data and for the description of sequence objects in databases.",https://www.ebi.ac.uk/ols4/ontologies/so,,http://purl.obolibrary.org/obo/so/2024-11-18/so.owl,http://www.sequenceontology.org/,,
Spider Ontology,spd,,"An ontology for spider comparative biology including anatomical parts (e.g. leg, claw), behavior (e.g. courtship, combing) and products (i.g. silk, web, borrow).",https://www.ebi.ac.uk/ols4/ontologies/spd,,,http://research.amnh.org/atol/files/,,
STATO: the statistical methods ontology,stato,,"STATO is the statistical methods ontology. It contains concepts and properties related to statistical methods, probability distributions and other concepts related to statistical analysis, including relationships to study designs and plots.",https://www.ebi.ac.uk/ols4/ontologies/stato,,http://purl.obolibrary.org/obo/stato/releases/2025-02-23/stato.owl,http://stato-ontology.org/,,
Software ontology,swo,,"The Software Ontology (SWO) is a resource for describing software tools, their types, tasks, versions, provenance and associated data. It contains detailed information on licensing and formats as well as software applications themselves, mainly (but not limited) to the bioinformatics community.",https://www.ebi.ac.uk/ols4/ontologies/swo,,http://www.ebi.ac.uk/swo/swo/releases/2023-03-05/swo.owl,https://github.com/allysonlister/swo,,
Symptom Ontology,symp,,The Symptom Ontology has been developed as a standardized ontology for symptoms of human diseases.,https://www.ebi.ac.uk/ols4/ontologies/symp,,http://purl.obolibrary.org/obo/symp/releases/2024-05-17/symp.owl,http://symptomontologywiki.igs.umaryland.edu/mediawiki/index.php/Main_Page,,
terms4FAIRskills,t4fs,,A terminology for the skills necessary to make data FAIR and to keep it FAIR.,https://www.ebi.ac.uk/ols4/ontologies/t4fs,,http://purl.obolibrary.org/obo/t4fs/releases/2025-02-09/t4fs.owl,https://github.com/terms4fairskills/FAIRterminology,,
Taxonomic rank vocabulary,taxrank,,"A vocabulary of taxonomic ranks (species, family, phylum, etc)",https://www.ebi.ac.uk/ols4/ontologies/taxrank,,http://purl.obolibrary.org/obo/taxrank/releases/2024-11-28/taxrank.owl,https://github.com/phenoscape/taxrank,,
Plant Trait Ontology,to,,A controlled vocabulary to describe phenotypic traits in plants.,https://www.ebi.ac.uk/ols4/ontologies/to,,http://purl.obolibrary.org/obo/to/releases/2025-05-20/to.owl,http://browser.planteome.org/amigo,,
Pathogen Transmission Ontology,trans,,"The Pathogen Transmission Ontology describes the tranmission methods of human disease pathogens describing how a pathogen is transmitted from one host, reservoir, or source to another host. The pathogen transmission may occur either directly or indirectly and may involve animate vectors or inanimate vehicles.",https://www.ebi.ac.uk/ols4/ontologies/trans,,http://purl.obolibrary.org/obo/trans/releases/2022-10-10/trans.owl,https://github.com/DiseaseOntology/PathogenTransmissionOntology,,
Teleost taxonomy ontology,tto,,An ontology covering the taxonomy of teleosts (bony fish),https://www.ebi.ac.uk/ols4/ontologies/tto,,,https://github.com/phenoscape/teleost-taxonomy-ontology,,
TOXic Process Ontology (TXPO),txpo,,"Elucidating the mechanism of toxicity is crucial in drug safety evaluations. TOXic Process Ontology (TXPO) systematizes a wide variety of terms involving toxicity courses and processes. The first version of TXPO focuses on liver toxicity.

The TXPO contains an is-a hierarchy that is organized into three layers: the top layer contains general terms, mostly derived from the Basic Formal Ontology. The intermediate layer contains biomedical terms in OBO foundry from UBERON, Cell Ontology, NCBI Taxon, ChEBI, Gene Ontology, PATO, OGG, INOH, HINO, NCIT, DOID and Relational ontology (RO). The lower layer contains toxicological terms.

In applied work, we have developed a prototype of TOXPILOT, a TOXic Process InterpretabLe knOwledge sysTem. TOXPILOT provides visualization maps of the toxic course, which facilitates capturing the comprehensive picture for understanding toxicity mechanisms. A prototype of TOXPILOT is available: https://toxpilot.nibiohn.go.jp",https://www.ebi.ac.uk/ols4/ontologies/txpo,,http://purl.obolibrary.org/obo/txpo/releases/2022-12-07/txpo.owl,https://toxpilot.nibiohn.go.jp/,,
