title,id,keywords,description,url,Sub classification,owl link,License URL,Estimated Classes,lov_page
Asset Description Metadata Schema,adms,['Metadata'],"ADMS is a profile of DCAT, used to describe semantic assets (or just 'Assets'), defined as highly reusable metadata (e.g. xml schemata, generic data models) and reference data (e.g. code lists, taxonomies, dictionaries, vocabularies) that are used for eGovernment system development.",http://www.w3.org/ns/adms,,,https://www.w3.org/Consortium/Legal/2015/doc-license,22,https://lov.linkeddata.es/dataset/lov/vocabs/adms
aerOS Data Catalog Ontology,aerdcat,['Catalogs'],Ontology that defines concepts for representing the aerOS Data Catalog,https://w3id.org/aerOS/data-catalog#,,,(No license declared),35,https://lov.linkeddata.es/dataset/lov/vocabs/aerdcat
aerOS Continuum Ontology,aeros,"['Support', 'Services']",Ontology for the orchestration of the aerOS continuum.,https://w3id.org/aerOS/continuum#,,,(No license declared),25,https://lov.linkeddata.es/dataset/lov/vocabs/aeros
Audio Features Ontology,af,['Music'],This vocabulary expresses some common concepts to represent some features of audio signals.,http://purl.org/ontology/af/,,,https://creativecommons.org/licenses/by-sa/3.0/,28,https://lov.linkeddata.es/dataset/lov/vocabs/af
AGLS Metadata Terms,agls,['Metadata'],"The AGLS Metadata Terms Namespace provides URIs for the AGLS Metadata Terms Vocabulary in the context of AGLS Metadata Standard, a set of metadata properties and associated usage guidelines to improve the visibility, manageability and interoperability of online information and services. Vocabulary terms are declared using RDF Schema language to support RDF applications. It will be updated according to AGLS Working Group decisions.",http://www.agls.gov.au/agls/terms,,,(Government terms of use),40,https://lov.linkeddata.es/dataset/lov/vocabs/agls
Agreements Ontology,agr,"['Government', 'Contracts']","This Agreements Ontology is designed to model 'agreements' which are social contracts that include licenses, laws, contracts, Memoranda of Understanding, standards and definitional metadata. Its purpose is to support data sharing by making explicit the relationships between agreements and data and agreements and Agents (people and organisations). Eventually it will also help with the interplay between different classes of agreements.",http://promsns.org/def/agr,,,(No license declared),20,https://lov.linkeddata.es/dataset/lov/vocabs/agr
Agent Relationships Ontology,agrelon,['People'],"The ontology of agent relationships, AgRelOn, defines relations of persons to other persons and to organisations",http://d-nb.info/standards/elementset/agrelon,,,https://creativecommons.org/licenses/by/4.0/,50,https://lov.linkeddata.es/dataset/lov/vocabs/agrelon
Academic Institution Internal Structure Ontology,aiiso,['Academy'],"The Academic Institution Internal Structure Ontology (AIISO) provides classes and properties to describe the internal organizational structure of an academic institution. AIISO is designed to work in partnership with Participation (http://purl.org/vocab/participation/schema), FOAF (http://xmlns.com/foaf/0.1/) and aiiso-roles (http://purl.org/vocab/aiiso-roles/schema) to describe the roles that people play within an institution.",http://purl.org/vocab/aiiso/schema,,,https://creativecommons.org/licenses/by-sa/2.0/,60,https://lov.linkeddata.es/dataset/lov/vocabs/aiiso
AI Risk Ontology,airo,"['Quality', 'Society']",AIRO represents AI risk concepts and relations based on the AI Act draft and ISO 31000 standard series.,https://w3id.org/airo,,,(No license declared),45,https://lov.linkeddata.es/dataset/lov/vocabs/airo
AIRS Linked Open Vocabulary,airs,['Services'],"The AIRS Linked Open Vocabulary is a way to describe human services information and referral (I&R) concepts.  AIRS is the Alliance of Information and Referral Services (airs.org), which possesses over 1,000 member agencies primarily in the United States and Canada.  The AIRS LOV is based on the AIRS XML Schema, available at: https://airs-xml.googlecode.com/hg/tags/3.1/airs.xsd",https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#,,,(No license declared),30,https://lov.linkeddata.es/dataset/lov/vocabs/airs
AKT Reference Ontology,akt,['Society'],"The AKT Reference Ontology has been designed to support the AKT-2 demonstrator (""AKTive Portal""), and subsequent activities. The ontology, designed by the AKT-2 group and codified by Enrico Motta, extends Version 1.",http://www.aktors.org/ontology/portal,,,(No license declared),150,https://lov.linkeddata.es/dataset/lov/vocabs/akt
AKT Support Ontology,akts,['Support'],"The AKT Reference Ontology has been designed to support the AKT-2 demonstrator (""AKTive Portal""), and subsequent activities",http://www.aktors.org/ontology/support,,,(No license declared),80,https://lov.linkeddata.es/dataset/lov/vocabs/akts
Cryptographic Algorithms Ontology,algo,['Security'],An ontology describing cryptographic algorithms,http://securitytoolbox.appspot.com/securityAlgorithms#,,,(No license declared),25,https://lov.linkeddata.es/dataset/lov/vocabs/algo
OSLC Asset Management Ontology,am,['PLM'],"This specification builds on the Open Services for Lifecycle Collaboration (OSLC) Core v2.0 Specification to define the resources, properties and operations supported by an OSLC Asset Management (OSLC-Asset) provider. Asset Management resources include Assets, Artifacts and supporting resources defined in the OSLC Core specification.",http://open-services.net/ns/asset#,,,https://creativecommons.org/licenses/by/4.0/,30,https://lov.linkeddata.es/dataset/lov/vocabs/am
AutomationML Ontology,aml,"['Industry', 'Support']",A vocabulary to represent the AutomationML Standard - IEC 62714,https://w3id.org/i40/aml,,,(No license declared),100,https://lov.linkeddata.es/dataset/lov/vocabs/aml
Anti-Money Laundering Ontology Core,amlo-core,"['Industry', 'Services']",The AMLO-core is the main module of the AMLO projects that extends the Financial Industry Business Ontology (FIBO) with some concepts to describe the Anti Money Laundering (AML) knowledge and facts.,http://w3id.org/amlo/core,,https://gitlab.com/mopso/amlo/raw/master/core/core.rdf,(No license declared),40,https://lov.linkeddata.es/dataset/lov/vocabs/amlo-core
Algorithm Metadata Vocabulary,amv,['Metadata'],"Metadata vocabularies are used in various domains of study. It provides an in-depth description of the resources. In this work, we develop Algorithm Metadata Vocabulary (AMV), a vocabulary for capturing and storing the metadata about the algorithms (a procedure or a set of rules that is followed step-by-step to solve a problem, especially by a computer). The snag faced by the researchers in the current time is the failure of getting relevant results when searching for algorithms in any search engine. AMV is represented as a semantic model and produced OWL file, which can be directly used by anyone interested to create and publish algorithm metadata as a knowledge graph, or to provide metadata service through SPARQL endpoint. To design the vocabulary, we propose a well-defined methodology, which considers real issues faced by the algorithm users and the practitioners. The evaluation shows a promising result.",https://w3id.org/amv,,,(No license declared),35,https://lov.linkeddata.es/dataset/lov/vocabs/amv
Association Ontology,ao,['Support'],"Provides basic concepts and properties for describing specific association statements to something, e.g. an occasion, a genre or a mood ...",http://purl.org/ontology/ao/core#,,,(No license declared),50,https://lov.linkeddata.es/dataset/lov/vocabs/ao
Appearances Ontology,aos,['People'],"Appearances is an ontology that grew out of the need to record personal appearance details about individuals while taking into account errors of perception and translation between various diffferent standards. Originally it was meant to record physical caracteristics of Great War soldiers from their medical files, but it became evident that the resource was also useful for other purposes.",http://rdf.muninn-project.org/ontologies/appearances,,,(No license declared),20,https://lov.linkeddata.es/dataset/lov/vocabs/aos
Public Contracts Ontology,apco,"['Services', 'Government']",APCO est une ontologie ayant pour but la description des termes des marchés publics,https://purl.org/cm/onto/apco,,,(No license declared),30,https://lov.linkeddata.es/dataset/lov/vocabs/apco
Linked Data API Vocabulary,api,['RDF'],Configuration vocabulary for the Linked Data API,http://purl.org/linked-data/api/vocab#,,https://raw.githubusercontent.com/UKGovLD/linked-data-api/master/vocab/api.ttl,(No license declared),15,https://lov.linkeddata.es/dataset/lov/vocabs/api
Open Data Co-creation Vocabulary,apps4X,['RDF'],apps4X is an RDF vocabulary defined to facilitate the description of Open-Data-based Co-creation events,http://semweb.mmlab.be/ns/apps4X,,,(No license declared),18,https://lov.linkeddata.es/dataset/lov/vocabs/apps4X
Archival Collections Vocabulary,arch,['Catalogs'],An RDF vocabulary for describing archival collections and the names associated with them,http://purl.org/archival/vocab/arch,,,(No license declared),22,https://lov.linkeddata.es/dataset/lov/vocabs/arch
ARCO Core Ontology,arco,"['Society', 'Services']","The Core module represents general-purpose concepts orthogonal to the whole network, which are imported by all other ontology modules (e.g. part-whole relation, classification).",https://w3id.org/arco/ontology/core,,,https://creativecommons.org/licenses/by/4.0/,180,https://lov.linkeddata.es/dataset/lov/vocabs/arco
Arpenteur Ontology,arp,"['Geography', 'Geometry']","Arpenteur ontology is dedicated to photogrammetry, archeology and oceanology communities 
	 in order to perform tasks such as image processing, photogrammetry and modelling.",http://www.arpenteur.org/ontology/Arpenteur.owl,,,(No license declared),28,https://lov.linkeddata.es/dataset/lov/vocabs/arp
Airport Status Ontology,atd,"['IoT', 'Transport']","Defines concepts related to airport status, including weather, forecasts, and airport operations",https://data.nasa.gov/ontologies/atmonto/data#,,https://data.nasa.gov/ontologies/atmonto/data.ttl,https://data.nasa.gov/license,45,https://lov.linkeddata.es/dataset/lov/vocabs/atd
Air Traffic Management Ontology,atm,"['Travel', 'Transport']",Defines specific air traffic management concepts used in aircraft navigation through the US National Airspace System,https://data.nasa.gov/ontologies/atmonto/ATM#,,https://data.nasa.gov/ontologies/atmonto/ATM.ttl,https://data.nasa.gov/license,60,https://lov.linkeddata.es/dataset/lov/vocabs/atm
Temporal/Spatial Concepts Ontology,atts,"['Time', 'IoT', 'Geography', 'Geometry']",Defines temporal / spatial concepts and general-purpose datastructures,https://data.nasa.gov/ontologies/atmonto/general#,,https://data.nasa.gov/ontologies/atmonto/general.ttl,https://data.nasa.gov/license,35,https://lov.linkeddata.es/dataset/lov/vocabs/atts
Authentication Provider Vocabulary,authn_provider,['API'],Information about authentication providers which might be identity providers or other services such as ones providing JSON Web Tokens.,https://w3id.org/inrupt/namespace/vocab/authn_provider/,,,(No license declared),12,https://lov.linkeddata.es/dataset/lov/vocabs/authn_provider
AtomOWL Ontology,awol,['API'],The AtomOWL ontology is inspired from the work done by the atom working group. This ontology is working off the rfc 4287 published among othe places at http://www.atompub.org/rfc4287.html . The AtomOWL ontology uses as much as possible the same terms as the format there to make the relation easy to understand. The AtomOWL name space is slightly different from the atom namespace [see post http://www.imc.org/atom-syntax/mail-archive/msg16476.html]. But this is a good thing as it helps distinguish the ontology from the rfc 4287 serialisation.,http://bblfish.net/work/atom-owl/2006-06-06/,,http://bblfish.net/work/atom-owl/2006-06-06/AtomOwl.ttl,(No license declared),25,https://lov.linkeddata.es/dataset/lov/vocabs/awol
Agricultural Weather Ontology,aws,"['Methods', 'Environment', 'IoT']",This ontology is part of the Agriculture Meteorology example showcasing the ontology developed by the W3C Semantic Sensor Networks incubator group (SSN-XG). It is published here in order to generalize the potential usage and the alignment with other standardization efforts of the SSN ontology.,http://purl.oclc.org/NET/ssnx/meteo/aws,,,https://creativecommons.org/licenses/by/3.0/,30,https://lov.linkeddata.es/dataset/lov/vocabs/aws
BAG Vocabulary,bag,['Geography'],Basisregistraties Adressen en Gebouwen (BAG) vocabulaire,http://bag.basisregistraties.overheid.nl/def/bag,,,(Government open data),55,https://lov.linkeddata.es/dataset/lov/vocabs/bag
ISO 19103 Basic Types Ontology,basic,['Methods'],"An OWL representation of (some of) the basic types described in ISO 19103:2005, required as primitives in other ontologies based on ISO 19100 series standards",http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic,,,ISO Copyright,40,https://lov.linkeddata.es/dataset/lov/vocabs/basic
Battery Testing Ontology,bato,['Industry'],"The Battery Testing Ontology (BTO) is an application-level ontology belonging to EMMO's ecosystem, meant to model battery testing methodologies and techniques, like the partial discharge test. BTO is connected and aligned with a number of EMMO-based ontologies, including CHAMEO, Battery Domain Ontology and Electrochemistry.",http://w3id.org/emmo-bto/bto,,,(No license declared),65,https://lov.linkeddata.es/dataset/lov/vocabs/bato
BBC Ontology,bbc,['Press'],"The BBC ontology is used to describe BBC concepts in the store. For example, the BBC divisions (products) publishing linked data and interfacing with the triplestore, the platforms for which we produce content and the web documents that publish or are relevant to the BBC's content.",http://www.bbc.co.uk/ontologies/bbc,,,https://www.bbc.co.uk/terms/,75,https://lov.linkeddata.es/dataset/lov/vocabs/bbc
BBC CMS Ontology,bbccms,['API'],An ontology to represent the content management systems and their interaction with the triplestore.,http://www.bbc.co.uk/ontologies/cms,,,https://www.bbc.co.uk/terms/,42,https://lov.linkeddata.es/dataset/lov/vocabs/bbccms
BBC Core Concepts Ontology,bbccore,['General & Upper'],"The generic BBC ontology for people, places,events, organisations, themes which represent things that make sense across the BBC. This model is meant to be generic enough, and allow clients (domain experts) link their own concepts",http://www.bbc.co.uk/ontologies/coreconcepts,,,https://www.bbc.co.uk/terms/,38,https://lov.linkeddata.es/dataset/lov/vocabs/bbccore
BBC Provenance Ontology,bbcprov,['Quality'],"The provenance ontology supports data management and auditing tasks. It is used to define the different types of named graphs we used in the store (quad store) and enables their association with metadata that allow us to manage, validate and expose data to BBC services",http://www.bbc.co.uk/ontologies/provenance,,,https://www.bbc.co.uk/terms/,28,https://lov.linkeddata.es/dataset/lov/vocabs/bbcprov
Brain-Computer Interface Ontology,bci,['IoT'],The BCI ontology specifies a foundational metadata model set for real-world multimodal Brain Computing Interface (BCI) data capture activities. The ontology defines a minimalist and simple abstract metadata foundational model for real-world BCI applications that monitors human activity in any scenario. BCI multimodal domain applications are encouraged to extend and use this ontology in their implementations.,https://w3id.org/BCI-ontology,,,(No license declared),32,https://lov.linkeddata.es/dataset/lov/vocabs/bci
Building Concrete Monitoring Ontology,bcom,['Industry'],"The Building Concrete Monitoring Ontology (BCOM) is defined for capturing information of concrete work, concrete curing and testing of concrete properties. Further Information on the development and usage of the Ontology can be found in the following publication: Liu et al. (2021): An ontology integrating as-built information for infrastructure asset management using BIM and semantic web. In: Proceedings of 2021 European Conference on Computing in Construction, Online eConference, URL: https://ec-3.org/publications/conferences/2021/paper/?id=167",https://w3id.org/bcom,,,(No license declared),45,https://lov.linkeddata.es/dataset/lov/vocabs/bcom
Multimedia Interactions Ontology,being,['Multimedia'],A vocabulary to describe the interactions between persons and groups occurring in multimedia.,http://contextus.net/ontology/ontomedia/ext/common/being#,,http://code.google.com/p/contextus/source/browse/trunk/ontomedia/ext/common/being.owl,(No license declared),18,https://lov.linkeddata.es/dataset/lov/vocabs/being
Beverage Ontology,bevon,['Food'],"Beverage Ontology is a Web vocabulary for describing beverages, mainly alcoholic.",http://rdfs.co/bevon/,,,(No license declared),22,https://lov.linkeddata.es/dataset/lov/vocabs/bevon
Bibliographic Ontology,bibo,['Catalogs'],"The Bibliographic Ontology Specification provides main concepts and properties for describing citations and bibliographic references (i.e. quotes, books, articles, etc) on the Semantic Web.",http://purl.org/ontology/bibo/,,,https://creativecommons.org/publicdomain/zero/1.0/,80,https://lov.linkeddata.es/dataset/lov/vocabs/bibo
BibTeX Ontology,bibtex,['Catalogs'],Transformation of bibTeX into an OWL ontology,http://purl.org/net/nknouf/ns/bibtex,,,(No license declared),35,https://lov.linkeddata.es/dataset/lov/vocabs/bibtex
Occupancy Profile Ontology,bimerr-op,"['Environment', 'People']",The Occupancy Profile ontology has been developed to represent people’s behavior inside building spaces.,http://bimerr.iot.linkeddata.es/def/occupancy-profile#,,,(No license declared),28,https://lov.linkeddata.es/dataset/lov/vocabs/bimerr-op
Biographical Information Ontology,bio,['People'],"A vocabulary for describing biographical information about people, both living and dead.",http://purl.org/vocab/bio/0.1/,,,(No license declared),42,https://lov.linkeddata.es/dataset/lov/vocabs/bio
Biological Taxonomy Ontology,biol,['Biology'],An RDF vocabulary for the taxonomy of all forms of life,http://purl.org/NET/biol/ns#,,,(No license declared),38,https://lov.linkeddata.es/dataset/lov/vocabs/biol
BioPAX Ontology,biopax,['Biology'],The goal of the BioPAX group is to develop a common exchange format for biological pathway data.  More information is available at http://www.biopax.org. This ontology is freely available under the LGPL license,http://www.biopax.org/release/biopax-level3.owl,,,http://www.biopax.org/license.html,250,https://lov.linkeddata.es/dataset/lov/vocabs/biopax
Biology Upper-Level Ontology,biotop,['Biology'],"Upper-Level ontology for Biology and Medicine. Compatible with BFO, DOLCE, and the UMLS Semantic Network",http://purl.org/biotop/biotop.owl,,,(No license declared),55,https://lov.linkeddata.es/dataset/lov/vocabs/biotop
Bibliographic Reference Ontology,biro,['SPAR'],"BiRO, the Bibliographic Reference Ontology, is an ontology structured according to the FRBR model to define bibliographic records (as subclasses of frbr:Work) and bibliographic references (as subclasses of frbr:Expression), and their compilations into bibliographic collections such as library catalogues, and into bibliographic lists such as reference lists in journal articles, respectively.",http://purl.org/spar/biro,,http://speronitomcat.web.cs.unibo.it:8080/LODE/source?url=http://purl.org/spar/biro,https://creativecommons.org/licenses/by/4.0/,65,https://lov.linkeddata.es/dataset/lov/vocabs/biro
Bibliographic Resource Terms,blt,['Catalogs'],"Some useful terms for describing bibliographic resources that other models did not include. Version 1.4: brings the description for this schema in line with ""Metadata recommendations for Linked Open Vocabulairies"", version 1.1.; dct:license replaced by cc:license and the value changed from http://www.opendatacommons.org/licenses/pddl/1.0/ to http://creativecommons.org/publicdomain/mark/1.0/; various typos corrected. Version 1.4.1: added links to previous schema versions",http://www.bl.uk/schemas/bibliographic/blterms,,,(No license declared),48,https://lov.linkeddata.es/dataset/lov/vocabs/blt
Chatbot Vocabulary,bot,"['Catalogs', 'Services']",A vocabulary to describe data sources in a way they can be easily reused and accessed by chatbots.,http://swa.cefriel.it/ontologies/botdcat-ap,,,(No license declared),32,https://lov.linkeddata.es/dataset/lov/vocabs/bot
Botanical Taxonomy Ontology,botany,['Biology'],This is a specialist botanical variant of the Biological Taxonomy Vocabulary.,http://purl.org/NET/biol/botany#,,,(No license declared),45,https://lov.linkeddata.es/dataset/lov/vocabs/botany
Belgian Person Ontology,bperson,"['Society', 'People']",Person ontology in Dutch,http://data.vlaanderen.be/ns/persoon,,,(Government open data),38,https://lov.linkeddata.es/dataset/lov/vocabs/bperson
Brainstorming Ontology,br,['Society'],A lightweight ontology to structure e- brainstorming sessions,http://vocab.deri.ie/br,,,(No license declared),25,https://lov.linkeddata.es/dataset/lov/vocabs/br
Kadaster Registry Vocabulary,brk,"['Environment', 'Geography']",Basisregistratie Kadaster (BRK) vocabulaire,http://brk.basisregistraties.overheid.nl/def/brk,,,(Government open data),55,https://lov.linkeddata.es/dataset/lov/vocabs/brk
Topographic Registry Vocabulary,brt,"['Geography', 'Environment']",Basisregistratie Topografie (BRT) vocabulaire,http://brt.basisregistraties.overheid.nl/def/top10nl,,,(Government open data),65,https://lov.linkeddata.es/dataset/lov/vocabs/brt
Building Topology Ontology,bto,['Industry'],"The Building Topology Ontology (BOT) is a simple ontology defining the core concepts of a building.

It is a simple, easy to extend ontology for the construction industry to document and exchange building data on the web.

Changes since version 0.2.0 of the ontology are documented in:
https://w3id.org/bot/bot.html#changes

The version 0.2.0 of the ontology is documented in:
Mads Holten Rasmussen, Pieter Pauwels, Maxime Lefrançois, Georg Ferdinand Schneider, Christian Anker Hviid and Jan Karlshøj (2017) Recent changes in the Building Topology Ontology, 5th Linked Data in Architecture and Construction Workshop (LDAC2017), November 13-15, 2017, Dijon, France, https://www.researchgate.net/publication/320631574_Recent_changes_in_the_Building_Topology_Ontology

The initial version 0.1.0 of the ontology was documented in:
Mads Holten Rasmussen, Pieter Pauwels, Christian Anker Hviid and Jan Karlshøj (2017) Proposing a Central AEC Ontology That Allows for Domain Specific Extensions, Lean and Computing in Construction Congress (LC3): Volume I – Proceedings of the Joint Conference on Computing in Construction (JC3), July 4-7, 2017, Heraklion, Greece, pp. 237-244 https://doi.org/10.24928/JC3-2017/0153",https://w3id.org/bot,,,(No license declared),42,https://lov.linkeddata.es/dataset/lov/vocabs/bto
Call for X Ontology,c4n,['Contracts'],"A vocabulary to describe calls, such as call for tenders, call for proposals, call for papers, etc.",http://vocab.deri.ie/c4n,,,(No license declared),28,https://lov.linkeddata.es/dataset/lov/vocabs/c4n
Citation Counting Ontology,c4o,['SPAR'],C4O allows the characterization of bibliographic citations in terms of their number and their context.,http://purl.org/spar/c4o,,,https://creativecommons.org/licenses/by/4.0/,35,https://lov.linkeddata.es/dataset/lov/vocabs/c4o
Calendar Ontology,cal,['Time'],A vocabulary for description of events and calendars,http://www.w3.org/2002/12/cal/ical,,,https://www.w3.org/Consortium/Legal/2015/doc-license,30,https://lov.linkeddata.es/dataset/lov/vocabs/cal
CARESSES Robot Ontology,caresses,['Health'],"The CARESSES Ontology encodes guidelines defined by experts in Transcultural Nursing, with the aim of offering a specific tool for endowing social assistive robots (assisting older adults) with cultural competence.",http://caressesrobot.org/ontology,,,(Research use only),75,https://lov.linkeddata.es/dataset/lov/vocabs/caresses
Cartesian Coordinates Ontology,cart,"['Geography', 'Geometry']",Ontology for representation of cartesian co-ordinates,http://purl.org/net/cartCoord#,,,(No license declared),15,https://lov.linkeddata.es/dataset/lov/vocabs/cart
CASO Context Ontology,caso,['IoT'],CASO (Context Aware System Observation) is an ontology for context aware system and observation services. Its goal is to describe all the processing of the context.,http://www.w3id.org/def/caso#,,,(No license declared),42,https://lov.linkeddata.es/dataset/lov/vocabs/caso
EU Company Mobility Ontology,cbcm,"['eBusiness', 'Society']","This ontology describes terms concerning companies, their cross-border movements within the European Union (EU), and associated EU company legislation.",http://w3id.org/um/cbcm/eu-cm-ontology,,,(No license declared),55,https://lov.linkeddata.es/dataset/lov/vocabs/cbcm
Comic Book Ontology,cbo,"['Image', 'Metadata']",A metadata vocabulary for describing comic books and comic book collections.,http://comicmeta.org/cbo/,,,(No license declared),38,https://lov.linkeddata.es/dataset/lov/vocabs/cbo
CBS Statistics Ontology,cbs,"['Geography', 'Government']",Ontologie voor datasets van het CBS,http://betalinkeddata.cbs.nl/def/cbs,,,(Government open data),65,https://lov.linkeddata.es/dataset/lov/vocabs/cbs
Creative Commons Rights Expression Language,cc,['Metadata'],The Creative Commons Rights Expression Language (CC REL) lets you describe copyright licenses in RDF,http://creativecommons.org/ns,,http://creativecommons.org/schema.rdf,https://creativecommons.org/licenses/by/4.0/,22,https://lov.linkeddata.es/dataset/lov/vocabs/cc
Cloud Computing Instances Ontology,cci,"['Services', 'Industry']","Ontology for Cloud Computing Instances. Instance are classes of VM that comprise varying combinations of CPU, memory, storage, and networking capacity. This ontology allows to define the instantiation model of MVs used in large cloud computing providers such as Amazon, Azure, etc.",http://cookingbigdata.com/linkeddata/ccinstances,,,(No license declared),35,https://lov.linkeddata.es/dataset/lov/vocabs/cci
Cognitive Characteristics Ontology,cco,['People'],"The Cognitive Characteristics Ontology specification provides a vocabulary for describing cognitive pattern within contexts, their temporal dynamics and their origins, on/ for the Semantic Web.",http://purl.org/ontology/cco/core#,,,(No license declared),28,https://lov.linkeddata.es/dataset/lov/vocabs/cco
Cloud Computing Pricing Ontology,ccp,"['Industry', 'Support']","Simple and direct pricing ontology for Cloud Computing Services. This ontology allows to define model of prices used in large cloud computing providers such as Amazon, Azure, etc., including options for regions, type of instances, prices specification, etc.",http://cookingbigdata.com/linkeddata/ccpricing,,,(No license declared),25,https://lov.linkeddata.es/dataset/lov/vocabs/ccp
Cloud Computing Regions Ontology,ccr,"['Geography', 'Services', 'Industry']","Ontology for the definition of regions and zones of availability on CloudComputing platforms and services. This ontology allows to define model of regions used in large cloud computing providers such as Amazon, Azure, etc.",http://cookingbigdata.com/linkeddata/ccregions,,,(No license declared),20,https://lov.linkeddata.es/dataset/lov/vocabs/ccr
Cloud Computing SLA Ontology,ccsla,"['Services', 'Support']","Service Level Agreement for Cloud Computing Services. This ontology allows to define model of SLA/SLO used in large cloud computing providers such as Amazon, Azure, etc., including terms, claims, credit, compensations, etc",http://cookingbigdata.com/linkeddata/ccsla,,,(No license declared),22,https://lov.linkeddata.es/dataset/lov/vocabs/ccsla
Construction Dataset Context Ontology,cdc,['Industry'],"The Construction Dataset Context (CDC) ontology is an extension of DCAT v2.0, a W3C Recommendation ontology for describing (RDF and non-RDF) datasets published on the Web.  Using this extension, it becomes possible to describe a context for construction-related datasets that are being distributed using Web technology as well as datasets that are not shared outside an organization such as local copies, work in progress and other datasets that remain internal. This dataset metadata encompasses the temporal context (period or snapshot), the type of content of the dataset (as-built, design, etc.) and relations between contextualized datasets (previous as-built, requirements related to a design, etc.). In addition, this DCAT extension also provides terminology for managing dataset distributions that are scoped to a certain (named or default) graph of an RDF file or quadstore.",https://w3id.org/cdc,,,(No license declared),38,https://lov.linkeddata.es/dataset/lov/vocabs/cdc
