title,id,keywords,description,url,Sub classification,owl link
Genome BLAST,,,The Basic Local Alignment Search Tool (BLAST) finds regions of local similarity between sequences. The program compares nucleotide or protein sequences to sequence databases and calculates the statistical significance of matches. BLAST can be used to infer functional and evolutionary relationships between sequences as well as help identify members of gene families.,https://www.ncbi.nlm.nih.gov/blast/Blast.cgi,,
Genome Data Viewer (GDV),,,GDV is a genome browser supporting the exploration and analysis of more than 3750 eukaryotic RefSeq genome assemblies,https://www.ncbi.nlm.nih.gov/genome/gdv,,
Genome Reference Consortium (GRC),,,Warning:this web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/projects/genome/assembly/grc/,,
"HIV-1, Human Protein Interaction Database",,,"NCBI Virus is a community portal for viral sequence data from RefSeq, GenBank and other NCBI repositories.",https://www.ncbi.nlm.nih.gov/RefSeq/HIVInteractions,,
Identical Protein Groups,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/ipg,,
Influenza Virus,,,No description found,https://www.ncbi.nlm.nih.gov/genomes/FLU/FLU.html,,
Journals in NCBI Databases,,,Details about Journals in the NCBI Databases,https://www.ncbi.nlm.nih.gov/nlmcatalog/journals,,
LinkOut,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/projects/linkout/,,
MedGen,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/medgen,,
MEDLINE (Leasing),,,Error: 404 Client Error: Not Found,http://www.nlm.nih.gov/databases/journal.html,,
MeSH Database,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/mesh,,
Multiple Comparative Genome Viewer (MCGV),,,Multiple Comparative Genome Viewer,https://www.ncbi.nlm.nih.gov/mcgv/,,
Multiple Sequence Alignment Viewer,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/tools/msaviewer/,,
National Library of Medicine (NLM) Catalog,,,"Catalog of books, journals, and audiovisuals at the          National Library of Medicine.",https://www.ncbi.nlm.nih.gov/nlmcatalog,,
National Library of Medicine (NLM) DTDs,,,The NLM DTD Suite is now the NISO Journal Article Tag Suite,http://dtd.nlm.nih.gov/,,
NCBI C++ Toolkit Manual,,,"A comprehensive manual on the NCBI C++ toolkit, including its design and development framework, a C++ library reference, software examples and demos, FAQs and release notes.",https://ncbi.github.io/cxx-toolkit/,,
NCBI Data Specifications,,,This folder contains public NCBI data specifications.,https://www.ncbi.nlm.nih.gov/data_specs,,
NCBI Education Page,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/education/,,
NCBI Glossary,,,Error: 403 Client Error: Forbidden,https://www.ncbi.nlm.nih.gov/books/NBK21106/,,
NCBI Handbook,,,Error: 403 Client Error: Forbidden,https://www.ncbi.nlm.nih.gov/books/NBK143764/,,
NCBI Help Manual,,,Error: 403 Client Error: Forbidden,https://www.ncbi.nlm.nih.gov/books/NBK3831/,,
NCBI News,,,News about NCBI resources and events,https://www.ncbi.nlm.nih.gov/news,,
NCBI Pathogen Detection Project,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/pathogens/,,
NCBI Toolbox,,,"The National Center for Biotechnology Information (NCBI) provides an integrated approach to the use of gene and protein sequence information, the scientific literature (MEDLINE), molecular structures, and related resources, in biomedicine.",https://www.ncbi.nlm.nih.gov/IEB/ToolBox/index.cgi,,
NIH Manuscript Submissions (NIHMS),,,"Manuscript deposit via NIHMS is a multi-step process that currently takes approximately 2 to 3 weeks following
        initial approval of a complete submission. Processing times may vary depending on Reviewer responsiveness and
        the volume of submissions during a given period.
        See thefull overview.",http://www.nihms.nih.gov/,,
Nucleotide Database,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/nuccore,,
Online Mendelian Inheritance in Man (OMIM),,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/omim,,
Open Reading Frame Finder (ORF Finder),,,"ORF finder searches for open reading frames (ORFs) in the DNA sequence, returns the range and protein translation of each ORF. Search newly sequenced DNA for potential protein encoding segments, verify predicted proteins with SMARTBLAST or BLASTP.",https://www.ncbi.nlm.nih.gov/orffinder/,,
OSIRIS,,,"Open Source Independent Review and Interpretation System is public-domain, free and open source software designed for clinical, forensic, and research use, and has been validated for use as an expert system for single-source samples.",https://www.ncbi.nlm.nih.gov/projects/SNP/osiris,,
Phenotype-Genotype Integrator (PheGenI),,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/gap/PheGenI ,,
PopSet,,,"Beginning in January 2025, NCBI’sPopSet databasewill no longer be available.",https://www.ncbi.nlm.nih.gov/popset,,
Primer-BLAST,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/tools/primer-blast,,
ProSplign,,,"ProSplign, a tool for accurate computation of protein-to-genomic alignments.",https://www.ncbi.nlm.nih.gov/sutils/static/prosplign/prosplign.html,,
Protein Clusters,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/proteinclusters,,
Protein Database,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/protein,,
Protein Family Models,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/protfam,,
PSSM Viewer,,,"NCBI's outreach activities include educational events (such as workshops, webinars, and codeathons) and participation in scientific conferences. The NCBI Outreach events site lists our activities by date and provides you a way to apply for or register to attend these activities. For each past educational event, we provide a link for access to relevant materials.",https://www.ncbi.nlm.nih.gov/Class/Structure/pssm/pssm_viewer.cgi,,
PubChem BioAssay,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/pcassay,,
PubChem Compound,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/pccompound,,
PubChem Download Service,,,No description found,https://pubchem.ncbi.nlm.nih.gov/pc_fetch/pc_fetch.cgi,,
PubChem Power User Gateway (PUG),,,No description found,https://pubchem.ncbi.nlm.nih.gov/pug/pughelp.html,,
PubChem Standardization Service,,,Allows the user to input chemical structures for standardization,https://pubchem.ncbi.nlm.nih.gov/standardize/standardize.cgi,,
PubChem Structure Search,,,PubChem Structure Search,https://pubchem.ncbi.nlm.nih.gov/search/search.cgi,,
PubChem Substance,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/pcsubstance,,
PubChem Upload,,,"Submit your data to PubChem, the world's largest chemical database, for global Open Access.",https://pubchem.ncbi.nlm.nih.gov/upload/#welcome,,
PubMed,,,"PubMed® comprises more than 38 million citations for biomedical literature from MEDLINE, life science journals, and online books. Citations may include links to full text content from PubMed Central and publisher web sites.",https://www.ncbi.nlm.nih.gov/pubmed,,
PubMed Central (PMC),,,PMC is a free full-text archive of biomedical and life sciences journal literature at the U.S. National Institutes of Health's National Library of Medicine (NIH/NLM).,https://www.ncbi.nlm.nih.gov/pmc/,,
PubMed Central (PMC) Open-Access Subset,,,Error: 404 Client Error: Not Found,https://www.ncbi.nlm.nih.gov/pmc/about/openftlist.html,,
PubMed Clinical Queries,,,Error: 404 Client Error: Not Found,https://www.ncbi.nlm.nih.gov/pubmed/clinical ,,
PubMed Tutorials,,,PubMed and MEDLINE tutorials and other online training,http://www.nlm.nih.gov/bsd/disted/pubmedtutorial/,,
Reference Sequence (RefSeq),,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/RefSeq/,,
RefSeqGene,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/refseq/rsg/,,
Related Structures,,,References:,https://structure.ncbi.nlm.nih.gov/Structure/cblast/cblast.cgi,,
Retrovirus Resources,,,No description found,https://www.ncbi.nlm.nih.gov/retroviruses/,,
RSS Feeds,,,Error: 404 Client Error: Not Found,https://www.ncbi.nlm.nih.gov/feed/,,
SARS CoV,,,No description found,https://www.ncbi.nlm.nih.gov/genomes/SARS/SARS.html,,
Sequence Read Archive (SRA),,,NCBI Sequence Read Archive,https://www.ncbi.nlm.nih.gov/Traces/sra/sra.cgi,,
Sequence Read Archive Submission,,,"The Sequence Read Archive (SRA) stores raw sequence data and alignments of ""next-generation""
                sequencing technologies including 454, IonTorrent, Illumina, SOLiD, Helicos, PacBio
                and Complete Genomics. Aligned sequences may be submitted in BAM format.",https://www.ncbi.nlm.nih.gov/Traces/sra_sub/sub.cgi,,
Sequence Viewer,,,NCBI Sequence Viewer,https://www.ncbi.nlm.nih.gov/projects/sviewer/,,
SNP Database Specialized Search Tools,,,"We regret to inform you that our services have been terminated. If you have any questions or need further assistance, please contact the administrators atsnp-admin@ncbi.nlm.nih.gov.",https://www.ncbi.nlm.nih.gov/projects/SNP/,,
SNP Submission Tool,,,"We regret to inform you that our services have been terminated. If you have any questions or need further assistance, please contact the administrators atsnp-admin@ncbi.nlm.nih.gov.",https://www.ncbi.nlm.nih.gov/projects/SNP,,
Splign,,,No description found,https://www.ncbi.nlm.nih.gov/sutils/splign,,
Structure (Molecular Modeling Database),,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/sites/entrez?db=structure,,
Submission Portal,,,"Submit sequence data to NCBI archives, including GenBank, Sequence Read Archive (SRA), and Gene Expression Omnibus (GEO), to obtain accession numbers. Assembled and unassembled read data can be submitted.",https://submit.ncbi.nlm.nih.gov,,
Taxonomy,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/taxonomy,,
Taxonomy Browser,,,"THE NCBI Taxonomy database allows browsing of the taxonomy tree, which contains a classification of organisms.",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Root,,
Taxonomy Common Tree,,,No description found,https://www.ncbi.nlm.nih.gov/Taxonomy/CommonTree/wwwcmt.cgi,,
Taxonomy Statistics,,,The NCBI Taxonomy database is a curated set of names and classifications for all of the organisms that are represented in GenBank.,https://www.ncbi.nlm.nih.gov/Taxonomy/taxonomyhome.html/index.cgi?chapter=STATISTICS&uncultured=hide&unspecified=hide,,
Taxonomy Status Reports,,,"The NCBI Taxonomy database is
    a curated set of names and classifications for all of the organisms that
    are represented in GenBank.",https://www.ncbi.nlm.nih.gov/Taxonomy/TaxIdentifier/tax_identifier.cgi,,
Third Party Annotation (TPA) Database,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/genbank/TPA.html,,
Trace Archive,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/Traces/trace.cgi,,
Trace Archive Submission,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/Traces/trace.cgi?cmd=show&f=submit&m=doc&s=submit,,
Tree Viewer,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/tools/treeviewer/,,
Variation Viewer,,,"Explore genetic variations and their clinical significance.  Search known variants by gene, phenotype or location - or upload and compare your own data.",https://www.ncbi.nlm.nih.gov/variation/view,,
VecScreen,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/tools/vecscreen/,,
Vector Alignment Search Tool (VAST),,,"Vector Alignment Search Tool (VAST), which uses purely geometric criteria to find similar 3D macromolecular structures and identify distant homologs that cannot be recognized by sequence comparison alone. Developed by the National Center for Biotechnology Information's Structure Group.",https://www.ncbi.nlm.nih.gov/Structure/VAST/vast.html,,
Viral Genomes,,,"NCBI Virus is a community portal for viral sequence data from RefSeq, GenBank and other NCBI repositories.",https://www.ncbi.nlm.nih.gov/genomes/GenomesHome.cgi,,
Viral Genotyping Tool,,,,https://www.ncbi.nlm.nih.gov/projects/genotyping/formpage.cgi,,
Virus Variation,,,No description found,https://www.ncbi.nlm.nih.gov/genomes/VirusVariation/,,
